Unit_ID,site,series,sand,silt,clay,oc,ph_h2o,theta_r,theta_s,cec7,bs7,ex_ca,ex_mg,ex_k,n_tot,estimated_c_to_n,Ks,town,year,avg_N2O,cold_sum,sum_tmax,sum_rad,snow_sum,precip_sum,cfd,log_avg_N2O,total_N2O,log_total_N2O
INACRE_Bare_AB1,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_Bare_AB2,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_Bare_AB3,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_Bare_AB4,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_CD_A13,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_CD_A32,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_CD_A52,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_IT_A15,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_IT_A23,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_IT_A31,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_IT_A83,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_ML_SA14,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_ML_SA31,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_ML_SA32,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_MR_SA12,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_MR_SA23,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_MR_SA24,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_MR_SA41,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_MT_SA13,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_NC_A14,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_NC_A25,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_NC_A41,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_NC_A84,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_NG_SA33,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_NG_SA42,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_NM_A15,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_NM_A23,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_NM_A31,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_NM_A83,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
INACRE_NP_A12,INA,Chalmers,12.8,55.8578947368421,31.3421052631579,2.5375,6.44210526315789,0.06511507,0.41647525,21.75,39.5555555555556,14.8222222222222,8.22222222222222,0.366666666666667,0.2065,10.19495,0.7236219,West_Lafayette,2005,1.97746952835165,-710,994,38019.2,1264,533,193.321368916828,0.681818011363527,360.050373708618,5.88624394862967
